clinic_name,country,city,website,email,phone,services,tier,ships_overseas,notes
Tam Anh General Hospital IVF Centre (IVFTA),Vietnam,Hanoi,tamanhhospital.vn,cskh@tamanhhospital.vn,1800 6858 / 024 7106 6858,IVF/ICSI/IUI/PGT-A/PGT-M/Timelapse,1,Unknown,Leading SE Asia IVF center. 108 Hoang Nhu Tiep Long Bien.
Andrology & Fertility Hospital of Hanoi,Vietnam,Hanoi,afhanoi.com,contact@afhanoi.com,(+84) 24 3634 3636,IVF/ICSI/IUI/PGT-A/PGT-M/PGD/Timelapse-AI,1,Unknown,RTAC certified Dec 2022. First private MOH-licensed IVF in North VN. Est. 2009.
Hong Ngoc IVF Fertility Center,Vietnam,Hanoi,ivfhongngoc.com,arthongngoc@hongngochospital.vn,0915 960 139,IVF/ICSI/IUI/Mini-IVF/PGD/PGS,1,Unknown,55 Yen Ninh Ba Dinh. Two campuses.
Vinmec Times City IVF Center,Vietnam,Hanoi,vinmec.com,cs_timescity@vinmec.com,0243 9743 556,IVF/ICSI/IUI/PGT-A/PGT-M,1,Unknown,RTAC certified. Co-located with Vinmec Gene Technology Center.
Vietnam National Hospital of OB-GYN (VNHOG),Vietnam,Hanoi,benhvienphusantrunguong.org.vn,lienhe@benhvienphusantrunguong.org.vn,(+84-24) 3825-2161,IVF/ICSI/IUI/PGT/egg donation/embryo cryo,1,Unknown,MOH flagship ART center. 43 Trang Thi Hoan Kiem.
Dong Do IVF Center,Vietnam,Hanoi,ivfdongdo.com,dongdoivfcenter@gmail.com,1900 1965,IVF/ICSI/IUI/PGD/PGS,1,Unknown,110k+ couples treated. Led by Dr Tang Duc Cuong. 5 Xa Dan Dong Da.
Duc Phuc Hospital,Vietnam,Hanoi,benhvienducphuc.com,info@benhvienducphuc.com,097 119 5050,IVF/ICSI/IUI/PGS/PGD/Timelapse/ZyMot,1,Unknown,Advanced embryology lab. 121 O Dong Lam Dong Da.
Phuong Dong General Hospital IVF,Vietnam,Hanoi,benhvienphuongdong.vn,info@benhvienphuongdong.vn,1900 1806,IVF/ICSI/IUI/PGS,1,Unknown,First PGT in Vietnam 2014. 80%+ success rate.
Superior A.R.T. Hanoi,Vietnam,Hanoi,thaisuperiorart.com,,+84 4 6682 2603,Consultation/referral to Bangkok for IVF/PGT-A/PGT-M/PGT-SR,1,Yes - ships to Bangkok,Genea joint venture. Status of Hanoi office unconfirmed 2026.
Hanoi Obstetrics & Gynecology Hospital,Vietnam,Hanoi,benhvienphusanhanoi.vn,,024 3834 3181,IVF/ICSI/IUI/embryo freezing,2,Unknown,Public hospital. IVF dept est. 2006. 72% pregnancy rate.
